LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_none_U ISIM_neuron_model_stateCURRENT_none_U ERROR_neuron_model_stateCURRENT_none_U LEMS_neuron_model_stateCURRENT_none_i1_I ISIM_neuron_model_stateCURRENT_none_i1_I ERROR_neuron_model_stateCURRENT_none_i1_I  
0.007 0.007009506 9.0364216E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00705 0.007059574 9.16614E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0071 0.007109642 9.296783E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00715 0.00715971 9.42835E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0072 0.007209778 9.560842E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00725 0.007259846 9.695175E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0073 0.007309914 9.8285984E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00735 0.007359982 9.963863E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0074 0.007410049 1.00981806E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00745 0.007460117 1.0235282E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0075 0.007510185 1.0373308E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00755 0.007560253 1.0512258E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0076 0.007610321 1.0652132E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00765 0.007660389 1.0792931E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0077 0.007710457 1.09346546E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00775 0.007760525 1.1078283E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0078 0.007810593 1.1221861E-10 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
