SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_time_lastSpikeTime neuron_model_stateCURRENT_conductance_SynapseModel_g neuron_model_stateCURRENT_current_SynapseModel_i 
1.321793e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.326799e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.331806e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.336813e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.341820e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.346827e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.351833e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.356840e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.361847e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.366854e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.371861e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.376867e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.381874e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.386881e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.391888e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.396894e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.401901e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.406908e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.411915e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.416922e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.421928e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.426935e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.431942e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.436949e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.441956e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.446962e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.451969e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.456976e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.461983e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.466990e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.471996e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.477003e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.482010e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.487017e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.492023e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.497030e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.502037e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.507044e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.512051e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.517057e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.522064e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
